Book Id	Title	Language	Year	Rs	Pages	Available	Author	Translator	Publisher	Phone No	Copyrights	Edition	Category
024	ಸಮಯೋಚಿತ ಪದ್ಯಗಳು-ಮುನ್ನುಡಿ 	Kannada	2002		144		ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ	ಎನ್. ವಿ. ಅನಂತರಾಮಯ್ಯ	ಶ್ರೀ ನರಸಿಂಹರಾಜಾ ಕಾಲೋನಿ ಅಸೋಸಿಯೇಷನ್		ಹಕ್ಕುಗಳು ಕಾದಿರಿಸಲ್ಪಟ್ಟಿವೆ		
025	ವಾಲ್ಮೀಕಿ ಮುನಿಗಳ ಹಾಸ್ಯ ಪ್ರವೃತ್ತಿ 	Kannada	1996	24	78	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಉದಯ ಪ್ರಕಾಶನ , ೯೮೪, ೧೧ ನೇ ಮುಖ್ಯ ರಸ್ತೆ, ೩ ನೇ ವಿಭಾಗ, ರಾಜಾಜಿ ನಗರ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೦	೦೮೦ -೩೩೮೯೧೪೩			
026	ವ್ಯಾಸ ರಹಸ್ಯ	Kannada	1996, (1999)	30	78	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಉದಯ ಪ್ರಕಾಶನ , ೯೮೪, ೧೧ ನೇ ಮುಖ್ಯ ರಸ್ತೆ, ೩ ನೇ ವಿಭಾಗ, ರಾಜಾಜಿ ನಗರ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೦	೦೮೦ -೩೩೮೯೧೪೩	Author	ಪ್ರಥಮ ಮುದ್ರಣ	
027	ಯುಗ ಪುರುಷ ಶಂಕರ	Kannada	2000, 2002, 2006	15	80	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ವೇದಾಂತ ಭಾರತೀ (ವೇದ – ವೇದಾಂತ ಅಧ್ಯಯನ ಮತ್ತು ಸಂಶೋಧನೆ ಸಂಸ್ಥೆ ) ಚಂದ್ರಮೌಳಿ ರಸ್ತೆ, ಕೃಷ್ಣರಾಜ ನಗರ – ೫೭೧೬೦೨, ಮೈಸೂರು ಜಿಲ್ಲೆ	೦೮೨೨೩- ೨೬೨೪೭೧	ವೇದಾಂತಭಾರತೀ	ತೃತೀಯ ಮುದ್ರಣ	
028	ಮಾನವ ಧರ್ಮಶಾಸ್ತ್ರ ಮತ್ತು ಮಹಿಳೆ	Kannada	2004	90	180	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀ ಭಗವತ್ಪಾದ ಪ್ರಕಾಶನ, ಶ್ರೀ ಸೋಂದಾ ಸ್ವರ್ಣವಲ್ಲೀ ಮಹಾಸಂಸ್ಥಾನ, ಮಠದೇವಳ, ಶಿರಸಿ – ೫೮೧೩೩೬	೦೮೦ -೩೩೮೯೧೪೩		ಪ್ರಥಮ ಮುದ್ರಣ	
029	ಹೊಸಗನ್ನಡ ವ್ಯಾಕರಣ	Kannada	2010	50	138	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		 ಕನ್ನಡ ಸಾಹಿತ್ಯ ಪರಿಷತ್ , ಪಂಪ ಮಹಾಕವಿ ರಸ್ತೆ, ಚಾಮರಾಜಪೇಟೆ ಬೆಂಗಳೂರು – ೫೬೦೦೧೮	೦೮೦ -೩೩೮೯೧೪೩	ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಿದೆ		
030	ವ್ಯಾಕರಣ ಶಾಸ್ತ್ರದ ಪರಿವಾರ	Kannada	2002	94	218	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರಕವಿ ಗೋವಿಂದ ಪೈ ಸಂಶೋಧನ ಕೇಂದ್ರ, ಉಡುಪಿ – ೨ ಮತ್ತು ಶ್ರೀ ಜನಾರ್ದನ ಮತ್ತು ಮಹಾಕಾಳಿ ದೇವಾಲಯ , ಅಂಬಲಪಾಡಿ	೦೮೦ -೩೩೮೯೧೪೩	All Rights Reseved	ಪ್ರಥಮ ಮುದ್ರಣ	
031	ಪಂಚದಶೀ ಪ್ರವಚನ 	Kannada	2003	0.5	574	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ವೇದಾಂತ ಭಾರತೀ, ಚಂದ್ರಮೌಳಿ ರಸ್ತೆ, ಕೃಷ್ಣರಾಜ ನಗರ – ೫೭೧೬೦೨, ಮೈಸೂರು ಜಿಲ್ಲೆ	೦೮೦ -೩೩೮೯೧೪೩	ವೇದಾಂತಭಾರತೀ	ಪ್ರಥಮ ಮುದ್ರಣ	
032	ಶ್ರೀರಾಮಕಥಾ ಮಂಜರಿ	Kannada	2000	160	535	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಮಾಯಣ ಪ್ರಕಾಶನ ಸಮಿತಿ , ನರಸಿಂಹರಾಜ ಕಾಲೋನಿ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೯	೦೮೦ -೩೩೮೯೧೪೩	ಲೇಖಕರರು	ಮೊದಲ ಮುದ್ರಣ	
033	ವಾಲಿವಧಪ್ರಸಂಗ	Kannada	1998	10	41	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀ ನರಸಿಂಹರಾಜಕಾಲೋನಿ ಅಸೋಸಿಯೇಷನ್ , ಶ್ರೀ ರಾಮ ಮಂದಿರ, ನರಸಿಂಹರಾಜಕಾಲೋನಿ, ಬೆಂಗಳೂರು- ೫೬೦೦೧೯	೦೮೦-೨೬೭೨೦೨೩೧	Reserved	ಪ್ರಥಮ ಮುದ್ರಣ	
034	ವಾಲ್ಮೀಕಿ ರಾಮಾಯಣದ ನಾಲ್ಕು ಪತ್ರಗಳು	Kannada	1996	15	92	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರಕವಿ ಗೋವಿಂದ ಪೈ ಸಂಶೋಧನ ಕೇಂದ್ರ, ಉಡುಪಿ – ೨ ಮತ್ತು ಶ್ರೀ ಜನಾರ್ದನ ಮತ್ತು ಮಹಾಕಾಳಿ ದೇವಾಲಯ , ಅಂಬಲಪಾಡಿ	೦೮೦ -೩೩೮೯೧೪೩		ಪ್ರಥಮ ಮುದ್ರಣ	
035	ವರದ ಪುರದ ವರದ ಯೋಗಿ	Kannada	2006	25	76	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀ ಶ್ರೀಧರಸೇವಾ ಮಹಾ ಮಂಡಲ(ರಿ), ಶ್ರೀಶ್ರೀಧರಾಶ್ರಮ, ಶ್ರೀಕ್ಷೇತ್ರ ವರದಪುರ. ಯಡಜಿಗಳೇ ಮನೆ ಅಂಚೆ, ಸಾಗರ ತಾಲ್ಲೂಕು, ಶಿವಮೊಗ್ಗ ಜಿಲ್ಲೆ, ಕರ್ನಾಟಕ – ೫೭೭೪೦೧	೦೮೦ -೩೩೮೯೧೪೩		ಎರಡನೆ ಮುದ್ರಣ	
036	ಹುಬ್ಬಳ್ಳಿಯ ಸಿದ್ಧಪುರುಷ 	Kannada	2001	30	100	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		 ಶ್ರೀಸಿದ್ಧಾರೂಢ ಮಿಷನ್(ರಿ) , ಚಿಕ್ಕೆಲ್ಲೂರು ರಸ್ತೆ, ರಾಮೋಹಳ್ಳಿ, ಕೆಂಗೇರಿ ಹೋಬಳಿ, ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ತಾ|| ೫೬೦೦೭೪	೦೮೦ -೩೩೮೯೧೪೩	ಪ್ರಕಾಶಕರ ಅಧೀನ	ಪ್ರಥಮ ಮುದ್ರಣ	
037	ದಿವ್ಯಜ್ಯೋತಿ ಶಂಕರ	Kannada	2002	15	74	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ವೇದಾಂತ ಭಾರತೀ (ವೇದ – ವೇದಾಂತ ಅಧ್ಯಯನ ಮತ್ತು ಸಂಶೋಧನೆ ಸಂಸ್ಥೆ ) ಚಂದ್ರಮೌಳಿ ರಸ್ತೆ, ಕೃಷ್ಣರಾಜ ನಗರ – ೫೭೧೬೦೨, ಮೈಸೂರು ಜಿಲ್ಲೆ.	೦೮೦ -೩೩೮೯೧೪೩	ವೇದಾಂತಭಾರತೀ	ಪ್ರಥಮ ಮುದ್ರಣ	
038	ಆಸ್ತಿಕ ಪರ್ವ 	Kannada	2007	50	86	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀ ಭಗವತ್ಪಾದ ಪ್ರಕಾಶನ, ಶ್ರೀ ಸೋಂದಾ ಸ್ವರ್ಣವಲ್ಲೀ ಮಹಾಸಂಸ್ಥಾನ , ಮಠದೇವಳ, ಶಿರಸಿ – ೫೮೧ ೩೩೬	೦೮೦ -೩೩೮೯೧೪೩		ಪ್ರಥಮ ಮುದ್ರಣ	
039	ಪುರಾಣಗಳ ನೆಲೆ ತತ್ತ್ವವಿಚಾರ 	Kannada	2010	50	90	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		 ಉದಯ ಪ್ರಕಾಶನ , ೯೮೪, ೧೧ ನೇ ಮುಖ್ಯ ರಸ್ತೆ, ೩ ನೇ ವಿಭಾಗ, ರಾಜಾಜಿ ನಗರ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೦	೦೮೦ -೩೩೮೯೧೪೩		ಪ್ರಥಮ ಮುದ್ರಣ	
040	ಉಪನಿಷತ್ತಿನ ಕಥೆಗಳು 	Kannada	1993	8	50	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀಶಾರದಾ ಟ್ರಸ್ಟ್, ೪೫೮೧, ಗೋಮತಿ -ನರಸಿಂಹರಾಜ ಮೊಹೆಲ್ಲಾ, ಮೈಸೂರು – ೫೭೦೦೦೪	೦೮೦ -೩೩೮೯೧೪೩	ಎಲ್ಲಾ ಹಕ್ಕುಗಳೂ ಪ್ರಕಾಶಕರದು		
041	ವಸಿಷ್ಠ 	Kannada	 1974, 2000, 2006	8	43	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರೋತ್ಥಾನ ಸಾಹಿತ್ಯ , ಕೆಂಪೇಗೌಡನಗರ, ಬೆಂಗಳೂರು- ೧೯	೦೮೦ -೩೩೮೯೧೪೩	ಪ್ರಕಾಶಕರು	ಮೂರನೇ ಮುದ್ರಣ	
042	ನಾರದ	Kannada	1973, 2000, 2007	8	43	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರೋತ್ಥಾನ ಸಾಹಿತ್ಯ , ಕೆಂಪೇಗೌಡನಗರ, ಬೆಂಗಳೂರು- ೧೯	೦೮೦ -೩೩೮೯೧೪೩	ಪ್ರಕಾಶಕರು	ಮೂರನೇ ಮುದ್ರಣ	
043	ಲಕ್ಷ್ಮಿ	Kannada	1978, 1997, 2000, 2006	8	44	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರೋತ್ಥಾನ ಸಾಹಿತ್ಯ , ಕೆಂಪೇಗೌಡನಗರ, ಬೆಂಗಳೂರು- ೧೯	೦೮೦ -೩೩೮೯೧೪೩	ಪ್ರಕಾಶಕರು	ನಾಲ್ಕನೆ ಮುದ್ರಣ	
044	ಭಾರತಿಯ ದರ್ಶನ	Kannada	1997		552				ಸರ್ಕಾರಿ ಪಠ್ಯ ಪುಸ್ತಕ ಮುದ್ರಣಾಲಯ, ಮೈಸೂರು				
045	ವರದಹಳ್ಳಿ ಶ್ರಿಧರಸ್ವಾಮಿಗಳು	Kannada	1981	2	60	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಐಬಿಎಚ್ ಪ್ರಕಾಶನ , ೫ನೇ ಮುಖ್ಯರಸ್ತೆ, ಗಾಂಧಿ ನಗರ , ಬೆಂಗಳೂರು, ೫೬೦೦೦೯	೦೮೦ -೩೩೮೯೧೪೩	1981 by the Publisher	ಮೊದಲ ಮುದ್ರಣ	
046	ವೀರಕಂಪಣರಾಯ	Kannada	1983, 1988	3.5	60	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಐಬಿಎಚ್ ಪ್ರಕಾಶನ , ೫ನೇ ಮುಖ್ಯರಸ್ತೆ, ಗಾಂಧಿ ನಗರ , ಬೆಂಗಳೂರು, ೫೬೦೦೦೯	೦೮೦ -೩೩೮೯೧೪೩	1988 by the Publisher	ಎರಡನೆಯ ಮುದ್ರಣ 1988	
047	ಮಾಂಡೂಕ್ಯಪ್ರವಚನ	Kannada	2006	175	236	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಸ್ವಯಂಪ್ರಕಾಶ ಗ್ರಂಥಮಾಲಾ ,ಆದಿಶಂಕರಾಚಾರ್ಯ ಶ್ರೀಶಾರದಾ – ಲಕ್ಷ್ಮೀನೃಸಿಂಹ ಪೀಠ, ಶ್ರೀಮಠ, ಹರಿಹರಪುರ – ೫೭೭೧೨೦	೦೮೨೬೫-೨೭೪೧೦೦	Publisher	First Edition	
048	ಸಂದರ್ಭ ಸೂಕ್ತಿ	Kannada	1987	15	132	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಐಬಿಎಚ್ ಪ್ರಕಾಶನ , ೫ನೇ ಮುಖ್ಯರಸ್ತೆ, ಗಾಂಧಿ ನಗರ , ಬೆಂಗಳೂರು, ೫೬೦೦೦೯	೦೮೦ -೩೩೮೯೧೪೩	Author 1987	First Edition	
049	ಸಂಜಯ	Kannada	2010		44		ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರೋತ್ಥಾನ ಸಾಹಿತ್ಯ		ಪ್ರಕಾಶಕರು	ಮೊದಲ ಮುದ್ರಣ	
050	ವ್ಯಾಸ ತಾತ್ಪರ್ಯ ನಿರ್ಣಯ 	Kannada	1995	45	158	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಉದಯ ಪ್ರಕಾಶನ , ೯೮೪, ೧೧ ನೇ ಮುಖ್ಯ ರಸ್ತೆ, ೩ ನೇ ವಿಭಾಗ, ರಾಜಾಜಿ ನಗರ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೦.	೦೮೦ -೩೩೮೯೧೪೩		First Edition 1995	
051	ಸೂಕ್ತಿ ವ್ಯಾಪ್ತಿ ಭಾಗ ೧ 	Kannada	1991, 1994	30	190	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರೋತ್ಥಾನ ಸಾಹಿತ್ಯ , ಕೆಂಪೇಗೌಡನಗರ, ಬೆಂಗಳೂರು- ೧೯	೦೮೦ -೩೩೮೯೧೪೩		ಎರಡನೆ ಮುದ್ರಣ ೧೯೯೪	
052	ಸೂಕ್ತಿ ವ್ಯಾಪ್ತಿ ಭಾಗ ೨	Kannada	1999, 2002	35	174	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರೋತ್ಥಾನ ಸಾಹಿತ್ಯ , ಕೆಂಪೇಗೌಡನಗರ, ಬೆಂಗಳೂರು- ೧೯	೦೮೦ -೩೩೮೯೧೪೩	ರಾಷ್ಟ್ರೋತ್ಥಾನ ಸಾಹಿತ್ಯ	ಎರಡನೆ ಮುದ್ರಣ	
053	ಸೂಕ್ತಿ ವ್ಯಾಪ್ತಿ ಭಾಗ ೩	Kannada	2004	35	104	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರೋತ್ಥಾನ ಸಾಹಿತ್ಯ , ಕೆಂಪೇಗೌಡನಗರ, ಬೆಂಗಳೂರು- ೧೯	೦೮೦ -೩೩೮೯೧೪೩	ರಾಷ್ಟ್ರೋತ್ಥಾನ ಸಾಹಿತ್ಯ	ಮೊದಲ ಮುದ್ರಣ	
054	ಸಂಕ್ಷೇಪ ರಾಮಾಯಣ 	Kannada	2005		60	ಇದೆ		ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ	ಶ್ರೀಭಾರತೀಪ್ರಕಾಶನ, ಶ್ರೀರಾಮಚಂದ್ರಾಪುರ ಮಠ, ಶ್ರೀರಾಮಾಶ್ರಮ, ೨ಎ, ಜೆ.ಪಿ. ರಸ್ತೆ, ಗಿರಿನಗರ ಬೆಂಗಳೂರು -೫೬೦೦೮೫	೦೮೦ -೩೩೮೯೧೪೩	ಶ್ರೀಭಾರತೀ ಪ್ರಕಾಶನ	ಪ್ರಥಮ ಮುದ್ರಣ	
